,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12209,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19874775.0,19874775.0,False,,1,,,,2025-06-05T19:31:00.000Z,102275.46965282505,47632798619.067406,7.1668,-1.02761789,-2.53405949,-3.44434058,7.57503409,28.55537158,15.69964764,2032701947369.226,63.5302,2147784862709.33,,2025-06-05T19:31:00.000Z,,,,,,2025-06-05 12:32:30.992085
1,1027,Ethereum,ETH,ethereum,10330,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120722573.15484652,120722573.15484652,True,,2,,,,2025-06-05T19:31:00.000Z,2540.095476931323,19168707498.894527,7.7307,-1.63747535,-3.27891573,-3.86917857,42.0442133,56.65540673,16.09601126,306646862034.1364,9.584,306646862034.14,,2025-06-05T19:31:00.000Z,,,,,,2025-06-05 12:32:30.992085
2,825,Tether USDt,USDT,tether,131780,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,153833369631.929,156004039777.66104,True,,3,,,,2025-06-05T19:30:00.000Z,1.000127539241731,74512230550.75523,9.7888,-0.00584325,-0.02062832,0.02004897,0.02010098,0.07340226,0.03997705,153852989423.24478,4.8085,156023936414.6,,2025-06-05T19:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-06-05 12:32:30.992085
3,52,XRP,XRP,xrp,1623,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58759724027.0,99986084900.0,False,,4,,,,2025-06-05T19:31:00.000Z,2.1344378829886566,2363401072.6633906,12.2872,-1.52369904,-3.76580582,-5.56830543,-0.3768222,6.83640911,-14.36706328,125418980957.18758,3.9199,213443788298.87,,2025-06-05T19:31:00.000Z,,,,,,2025-06-05 12:32:30.992085
4,1839,BNB,BNB,bnb,2564,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140887238.88,140887238.88,False,,5,,,,2025-06-05T19:31:00.000Z,644.8475020209884,1766520857.0107954,13.1392,-1.30136185,-3.5135639,-4.43005908,7.22310504,16.15544616,7.12811983,90850784058.40227,2.8395,90850784058.4,,2025-06-05T19:31:00.000Z,,,,,,2025-06-05 12:32:30.992085
5,5426,Solana,SOL,solana,933,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,524097780.2005437,602413255.3500243,True,,6,,,,2025-06-05T19:31:00.000Z,146.30676792864958,3923957228.648834,36.2293,-2.33571859,-6.00448974,-12.26437087,0.90864236,35.58127335,-1.1376043,76679052299.72134,2.3965,88137136347.64,,2025-06-05T19:31:00.000Z,,,,,,2025-06-05 12:32:30.992085
6,3408,USDC,USDC,usd-coin,28476,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61365035366.56208,61365035366.56208,False,,7,60901219650.231,60886310883.39725,,2025-06-05T19:30:00.000Z,0.9997551975655106,10253686086.33482,16.115,-0.01267306,0.00562038,-0.00084059,-0.02337703,-0.01564875,-0.02041462,61350013056.51182,1.9174,61350013056.51,,2025-06-05T19:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-06-05 12:32:30.992085
7,74,Dogecoin,DOGE,dogecoin,1234,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149563106383.70526,149563106383.70526,True,,8,,,,2025-06-05T19:31:00.000Z,0.1751195300666629,1283944802.736963,62.7842,-2.74460039,-7.86290715,-18.90402723,3.54291102,15.07923017,-15.13731385,26191420905.224773,0.8186,26191420905.22,,2025-06-05T19:31:00.000Z,,,,,,2025-06-05 12:32:30.992085
8,1958,TRON,TRX,tron,1183,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94854795807.78987,94854812957.65843,True,,9,,,,2025-06-05T19:31:00.000Z,0.27176646251558073,536604463.8651097,14.2682,-0.67792742,-0.67260289,-1.37695098,10.71101337,16.3884783,10.55826997,25778352309.32079,0.8057,25778356970.08,,2025-06-05T19:31:00.000Z,,,,,,2025-06-05 12:32:30.992085
9,2010,Cardano,ADA,cardano,1528,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35342129025.24856,44994593606.78086,False,,10,,,,2025-06-05T19:31:00.000Z,0.647003076744185,699216941.5349522,35.4871,-2.30339783,-3.86714792,-10.78802291,-2.5404468,9.76239748,-24.58628181,22866466218.02578,0.7147,29115138453.49,,2025-06-05T19:31:00.000Z,,,,,,2025-06-05 12:32:30.992085
